Code,State,Total Exports,Beef,Tree Nuts,Soybeans,Tobacco,Fresh Fruit
AL,Alabama,1359,50,0,55,0,0
AK,Alaska,18,0,0,0,0,0
AZ,Arizona,1737,96,67,0,0,77
AR,Arkansas,3106,55,0,679,0,0
CA,California,23463,374,8476,0,0,2989
CO,Colorado,1865,443,0,0,0,6
CT,Connecticut,280,1,0,0,0,0
DE,Delaware,262,1,0,31,0,3
FL,Florida,3414,58,0,0,0,284
GA,Georgia,2781,37,134,18,30,44
HI,Hawaii,321,5,48,0,0,2
ID,Idaho,2255,212,0,0,0,0
IL,Illinois,7838,100,0,2941,0,0
IN,Indiana,4472,48,0,1513,0,2
IA,Iowa,10009,480,0,2437,0,0
KS,Kansas,4938,1025,0,854,0,0
KY,Kentucky,2119,85,0,426,204,0
LA,Louisiana,1484,25,0,210,0,1
ME,Maine,262,2,0,0,0,5
MD,Maryland,682,11,0,100,0,2
MA,Massachussetts,212,1,0,0,0,11
MI,Michigan,2700,67,0,421,0,94
MN,Minnesota,6367,244,0,1583,0,0
MS,Mississippi,1932,21,0,478,0,0
MO,Missouri,3759,228,0,1159,0,3
MT,Montana,1391,166,0,0,0,0
NE,Nebraska,6294,1289,0,1357,0,0
NV,Nevada,144,39,0,0,0,0
NH,New Hampshire,75,1,0,0,0,0
NJ,New Jersey,597,1,0,17,0,27
NM,New Mexico,784,121,161,0,0,0
NY,New York,1502,34,0,64,0,62
NC,North Carolina,3377,27,0,249,333,24
ND,North Dakota,4088,120,0,906,0,0
OH,Ohio,3509,76,0,1191,0,0
OK,Oklahoma,1829,400,26,66,0,0
OR,Oregon,2106,90,83,0,0,107
PA,Pennsylvania,2025,75,0,130,26,30
RI,Rhode Island,32,0,0,0,0,0
SC,South Carolina,800,15,0,45,26,21
SD,South Dakota,3286,333,0,891,0,0
TN,Tennessee,1510,60,0,329,62,0
TX,Texas,6300,1029,72,12,0,41
UT,Utah,455,60,0,0,0,2
VT,Vermont,193,8,0,0,0,0
VA,Virginia,1087,42,0,100,52,8
WA,Washington,3601,307,0,0,0,769
WV,West Virginia,158,20,0,0,0,0
WI,Wisconsin,2841,203,0,400,0,33
WY,Wyoming,330,109,0,0,0,0
